Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,31.5,31.74,30.47,31.01,29.42,66789100
2013-02-04,31.09,31.99,30.76,31.02,29.43,7695400
2013-02-05,31.25,31.98,30.85,31.04,29.45,5013200
2013-02-06,30.98,31.43,30.75,31.03,29.44,2126100
2013-02-07,31.0,32.73,31.0,32.0,30.36,3800800
2013-02-08,32.31,33.48,32.3,33.05,31.36,2599300
2013-02-11,33.06,33.5,32.88,33.26,31.56,1487200
2013-02-12,33.4,34.0,33.15,33.74,32.01,1637300
2013-02-13,33.8,33.8,33.0,33.55,31.83,1269700
2013-02-14,33.39,33.45,32.77,33.27,31.57,2954500
2013-02-15,33.31,34.09,33.0,33.98,32.24,5415400
2013-02-19,34.02,34.07,33.57,33.84,32.11,1206900
2013-02-20,33.84,33.88,32.6,32.72,31.05,1842900
2013-02-21,32.5,32.8,31.86,32.56,30.89,3242300
2013-02-22,32.78,32.93,32.5,32.59,30.92,954500
2013-02-25,32.68,32.69,32.0,32.07,30.43,818900
2013-02-26,32.05,32.4,31.99,32.04,30.4,1048700
2013-02-27,32.0,33.05,32.0,32.32,30.67,1343600
2013-02-28,32.56,33.55,32.56,33.45,31.74,2991400
2013-03-01,33.36,34.7,33.15,34.6,32.83,2334000
2013-03-04,34.8,34.89,34.24,34.35,32.59,865400
2013-03-05,34.41,34.48,33.75,34.29,32.54,1413400
2013-03-06,34.34,34.38,33.85,33.85,32.12,802000
2013-03-07,33.95,34.68,33.56,34.56,32.79,1320000
2013-03-08,34.03,34.69,33.8,34.09,32.35,1541100
2013-03-11,33.97,34.26,33.25,34.18,32.43,1729400
2013-03-12,34.12,34.24,33.6,33.82,32.09,1557600
2013-03-13,33.9,34.06,33.08,34.0,32.26,2240800
2013-03-14,34.33,35.42,34.3,34.64,32.87,1865200
2013-03-15,34.7,34.84,33.31,33.44,31.73,2692100
2013-03-18,32.75,32.94,32.64,32.84,31.16,2372000
2013-03-19,32.8,33.42,32.33,32.8,31.12,1336200
2013-03-20,32.9,33.54,32.5,33.51,31.8,1944000
2013-03-21,33.9,34.0,33.29,33.47,31.76,514500
2013-03-22,33.55,33.75,32.74,33.12,31.43,763300
2013-03-25,33.48,33.48,32.25,32.46,30.8,1324600
2013-03-26,32.73,32.79,32.0,32.51,30.85,1396500
2013-03-27,32.38,32.89,32.06,32.74,31.06,1896800
2013-03-28,32.85,33.5,32.63,33.4,31.69,7434900
2013-04-01,33.42,33.59,32.43,32.59,30.92,1466300
2013-04-02,32.66,33.13,32.46,32.55,30.88,712200
2013-04-03,32.67,32.98,32.36,32.53,30.87,1409700
2013-04-04,32.41,32.5,31.71,31.84,30.21,1946400
2013-04-05,31.73,32.07,30.57,31.96,30.32,3963500
2013-04-08,31.95,32.98,31.77,32.92,31.24,1965200
2013-04-09,33.05,33.59,32.56,33.44,31.73,2004400
2013-04-10,33.76,33.76,32.98,33.15,31.45,969500
2013-04-11,33.22,33.24,32.87,33.16,31.46,1826600
2013-04-12,32.97,33.35,32.6,33.23,31.53,723500
2013-04-15,33.07,33.23,32.17,32.24,30.59,839500
2013-04-16,32.36,33.37,32.29,33.21,31.51,2271200
2013-04-17,32.98,33.23,32.17,32.89,31.21,3140500
2013-04-18,33.1,33.1,32.38,32.47,30.81,799900
2013-04-19,32.71,32.79,31.81,32.71,31.04,2159300
2013-04-22,32.9,32.9,32.22,32.66,30.99,922100
2013-04-23,32.78,32.96,31.5,31.7,30.08,2731700
2013-04-24,31.63,31.69,30.42,30.62,29.05,4149300
2013-04-25,30.93,31.99,30.75,31.55,29.94,1520600
2013-04-26,31.61,32.68,31.61,32.64,30.97,1421800
2013-04-29,32.95,32.95,32.17,32.66,31.05,1711600
2013-04-30,33.68,34.74,32.93,33.02,31.39,3390300
2013-05-01,32.97,33.51,32.66,33.39,31.74,1393100
2013-05-02,33.38,33.87,33.11,33.28,31.64,696300
2013-05-03,33.62,33.64,33.0,33.21,31.57,998400
2013-05-06,33.35,33.49,32.75,32.94,31.32,503700
2013-05-07,33.08,33.08,32.29,32.88,31.26,700700
2013-05-08,33.0,33.44,32.72,33.26,31.62,1034100
2013-05-09,33.31,33.67,33.28,33.55,31.9,977200
2013-05-10,33.54,33.61,32.97,33.18,31.54,534100
2013-05-13,33.06,33.49,32.75,33.04,31.41,438700
2013-05-14,33.13,33.75,32.85,33.08,31.45,872300
2013-05-15,32.94,33.06,32.56,32.79,31.17,563200
2013-05-16,33.48,33.8,33.16,33.39,31.74,1278700
2013-05-17,33.35,33.9,33.19,33.9,32.23,962200
2013-05-20,33.9,34.0,33.6,33.71,32.05,735700
2013-05-21,33.57,33.74,32.99,33.04,31.41,1692400
2013-05-22,32.55,33.99,31.75,33.55,31.9,26006000
2013-05-23,33.25,33.8,32.71,32.84,31.22,9008500
2013-05-24,33.2,33.62,32.53,33.46,31.81,5911600
2013-05-28,33.8,34.28,33.59,34.26,32.57,4960300
2013-05-29,34.25,34.25,32.88,32.95,31.33,3095700
2013-05-30,32.77,33.1,32.1,32.24,30.65,3934100
2013-05-31,32.3,32.34,31.8,32.0,30.42,6512400
2013-06-03,32.01,32.84,31.31,32.75,31.14,3398000
2013-06-04,32.83,32.99,31.84,32.4,30.8,4513400
2013-06-05,32.42,32.42,31.75,32.17,30.58,3522300
2013-06-06,32.17,32.31,31.54,32.08,30.5,2918200
2013-06-07,32.26,32.34,31.21,31.5,29.95,5134200
2013-06-10,31.83,32.11,31.47,32.01,30.43,4992100
2013-06-11,31.7,32.02,31.4,31.7,30.14,6367500
2013-06-12,31.95,32.03,31.4,31.53,29.98,7648500
2013-06-13,31.47,31.55,30.87,31.17,29.63,5849800
2013-06-14,31.0,31.26,30.61,30.8,29.28,10665000
2013-06-17,31.4,31.76,30.71,30.96,29.43,26785600
2013-06-18,31.33,31.39,30.95,31.18,29.64,24286200
2013-06-19,31.06,31.24,30.82,31.0,29.47,23483400
2013-06-20,30.89,31.04,30.05,30.19,28.7,14938500
2013-06-21,30.55,31.09,30.34,30.6,29.09,33694200
2013-06-24,30.15,30.5,29.4,30.38,28.88,40766000
2013-06-25,30.8,31.62,30.5,31.49,29.94,13511100
2013-06-26,31.8,31.9,30.92,30.97,29.44,23779700
2013-06-27,31.46,31.51,30.79,30.87,29.35,16734600
2013-06-28,30.9,31.39,30.54,30.89,29.37,19415100
2013-07-01,31.02,31.06,30.13,30.61,29.1,17601000
2013-07-02,30.22,30.83,29.62,29.7,28.24,11157300
2013-07-03,29.67,29.74,28.97,29.28,27.84,12930000
2013-07-05,29.81,30.18,29.78,30.17,28.68,10819200
2013-07-08,30.45,30.97,30.22,30.94,29.42,15675100
2013-07-09,31.12,31.4,30.94,30.98,29.45,8704800
2013-07-10,31.08,31.24,30.47,31.04,29.51,6506200
2013-07-11,31.43,31.45,30.84,30.92,29.4,4486900
2013-07-12,31.02,31.38,31.01,31.35,29.81,5429400
2013-07-15,31.31,31.65,31.1,31.58,30.02,4201900
2013-07-16,31.56,31.65,31.1,31.16,29.62,4301200
2013-07-17,31.23,31.23,30.85,30.99,29.46,3545800
2013-07-18,31.11,31.2,30.77,30.82,29.3,4053700
2013-07-19,30.79,30.8,30.12,30.24,28.75,8946200
2013-07-22,30.36,30.59,30.16,30.27,28.78,4255800
2013-07-23,30.41,30.44,29.76,30.06,28.58,5091800
2013-07-24,30.13,30.55,29.66,29.9,28.43,4890100
2013-07-25,29.88,30.55,29.71,30.52,29.02,5472900
2013-07-26,30.4,30.53,30.0,30.43,28.93,5051600
2013-07-29,30.27,30.54,29.98,30.09,28.61,4123600
2013-07-30,30.15,30.32,29.89,30.04,28.62,4630100
2013-07-31,30.0,30.19,29.8,29.81,28.4,5375100
2013-08-01,29.97,30.21,29.46,30.16,28.74,8105500
2013-08-02,30.12,30.96,29.91,30.94,29.48,5187500
2013-08-05,30.47,31.39,30.47,31.25,29.77,7283300
2013-08-06,31.68,32.5,31.09,31.13,29.66,12471200
2013-08-07,31.1,31.4,30.65,31.24,29.76,5920100
2013-08-08,31.4,31.83,31.18,31.24,29.76,7161900
2013-08-09,31.14,31.24,30.78,30.91,29.45,2784100
2013-08-12,30.68,30.99,30.04,30.33,28.9,5793700
2013-08-13,30.5,30.75,30.2,30.45,29.01,3116200
2013-08-14,30.5,30.63,30.08,30.14,28.72,3858200
2013-08-15,29.94,30.16,29.79,30.02,28.6,5818900
2013-08-16,29.94,30.2,29.75,30.0,28.58,3678800
2013-08-19,29.91,30.3,29.84,29.87,28.46,2480600
2013-08-20,29.86,30.41,29.71,30.23,28.8,3804100
2013-08-21,30.07,30.19,29.6,29.85,28.44,3531400
2013-08-22,29.83,30.01,29.57,29.87,28.46,3030800
2013-08-23,29.88,30.23,29.64,30.2,28.77,2531600
2013-08-26,30.16,30.16,29.65,29.8,28.39,7179000
2013-08-27,29.53,29.67,29.0,29.2,27.82,8103500
2013-08-28,29.07,29.83,28.81,29.57,28.17,7067300
2013-08-29,29.43,29.61,29.22,29.47,28.08,1590600
2013-08-30,29.45,29.5,29.04,29.15,27.77,2296300
2013-09-03,29.46,29.77,29.19,29.43,28.04,2052100
2013-09-04,29.45,29.71,29.35,29.69,28.29,3187200
2013-09-05,29.72,30.49,29.66,30.33,28.9,5688100
2013-09-06,30.45,30.95,29.97,30.61,29.16,5245900
2013-09-09,30.64,31.0,30.36,30.59,29.15,2723800
2013-09-10,31.33,31.82,30.86,30.95,29.49,5024400
2013-09-11,31.36,31.46,30.89,31.33,29.85,6367900
2013-09-12,31.36,31.39,30.82,31.08,29.61,2881300
2013-09-13,31.07,31.3,30.91,31.05,29.58,3087300
2013-09-16,31.44,32.18,31.39,31.85,30.35,7069200
2013-09-17,32.01,32.52,31.98,32.38,30.85,4616300
2013-09-18,32.28,32.73,31.96,32.72,31.17,3913200
2013-09-19,32.8,32.9,32.16,32.51,30.97,4128700
2013-09-20,32.68,32.75,31.87,32.19,30.67,11372300
2013-09-23,32.19,32.19,31.35,31.58,30.09,3322100
2013-09-24,31.62,31.66,31.21,31.48,29.99,2212100
2013-09-25,31.48,31.59,31.03,31.06,29.59,3165800
2013-09-26,31.22,31.64,31.2,31.58,30.09,2289100
2013-09-27,31.56,31.6,31.05,31.15,29.68,2391000
2013-09-30,31.1,31.32,30.93,31.12,29.65,2890400
2013-10-01,31.12,32.04,31.01,31.78,30.28,3263200
2013-10-02,31.67,32.13,31.43,32.0,30.49,3071500
2013-10-03,31.79,31.82,31.34,31.48,29.99,2520500
2013-10-04,32.29,32.56,31.64,32.05,30.54,5795500
2013-10-07,31.7,32.38,31.59,31.93,30.42,4420200
2013-10-08,31.86,32.09,31.46,31.53,30.04,4152500
2013-10-09,31.73,31.73,31.08,31.43,29.95,3379900
2013-10-10,31.78,32.36,31.47,32.36,30.83,4397600
2013-10-11,32.44,32.77,32.03,32.4,30.87,6164800
2013-10-14,32.03,32.46,31.86,32.29,30.77,2527800
2013-10-15,32.22,32.42,32.0,32.07,30.56,2326600
2013-10-16,32.26,32.97,32.26,32.89,31.34,3625900
2013-10-17,32.83,33.19,32.77,33.03,31.47,2891500
2013-10-18,33.16,33.3,32.85,33.22,31.65,3979400
2013-10-21,33.16,33.34,32.62,32.77,31.22,2677800
2013-10-22,32.92,33.0,32.26,32.51,30.97,3084600
2013-10-23,32.48,32.9,32.48,32.6,31.06,2817700
2013-10-24,32.75,32.89,32.5,32.74,31.19,2351500
2013-10-25,32.8,32.8,32.35,32.47,30.94,1480800
2013-10-28,32.53,32.53,31.94,31.98,30.47,3636400
2013-10-29,31.99,32.3,31.92,32.03,30.52,2912000
2013-10-30,32.17,32.61,31.95,32.06,30.61,4398600
2013-10-31,32.0,32.28,31.66,31.66,30.23,4241700
2013-11-01,31.77,31.93,31.38,31.84,30.4,5890500
2013-11-04,31.84,31.99,31.52,31.93,30.48,3838900
2013-11-05,31.9,31.97,31.26,31.69,30.25,6642200
2013-11-06,32.08,32.18,30.89,31.27,29.85,6722800
